p,q,rho,CVaR,CVaR.se
0.38,-0.19154357954143647,-1,-1.0570718533085786,0.005045384661432243
0.38,-0.16465144688925382,-0.5,-0.9148304139216082,0.0044312780304883725
0.38,-0.13283088419753986,0,-0.7464335194804587,0.003751613622691448
0.38,-0.09174045030669403,0.5,-0.5280106865374364,0.003075692132012465
0.38,-0.038769182976968075,0.9,-0.24276236095261686,0.0036959119037427188
0.38,-0.02704507399394867,0.95,-0.17888313616982424,0.0045891063571967235
0.38,-0.0041040270208123186,1,-0.05979608153133749,0.01176934396770799
0.39,-0.17352363498198553,-1,-1.034693070989085,0.004938608730557251
0.39,-0.14896278434249113,-0.5,-0.8954432626757238,0.004338442561800357
0.39,-0.11999242369742188,0,-0.7305916232116854,0.0036750599476853907
0.39,-0.08249880565903442,0.5,-0.5167785676396298,0.0030197354591337557
0.39,-0.03422302560571326,0.9,-0.23759797650049283,0.0036464463908812694
0.39,-0.023504908727422634,0.95,-0.17509104967626196,0.004526437039965166
0.39,-0.0024954153351441875,1,-0.0629234854138353,0.011534536931763309
0.4,-0.15574985508354305,-1,-1.0129853409817082,0.004835009696091821
0.4,-0.13356905619218787,-0.5,-0.8766361846801493,0.004248145059253463
0.4,-0.10729281788933466,0,-0.7152220747845656,0.0036006903803859763
0.4,-0.07343535831877931,0.5,-0.5058772015407145,0.0029647574745352207
0.4,-0.02972734463410727,0.9,-0.2326029401295681,0.0035966328149068067
0.4,-0.020011436249021887,0.95,-0.17139709705632053,0.0044636029365634185
0.4,-8.171253919824165e-4,1,-0.06340137199198641,0.011322979173206946
0.41000000000000003,-0.13821329431308554,-1,-0.9919053694864967,0.004734354301279228
0.41000000000000003,-0.11831225306410864,-0.5,-0.8583719410273952,0.0041604980721516496
0.41000000000000003,-0.0947952923119727,0,-0.7002941204967065,0.0035281824270987448
0.41000000000000003,-0.06442823533258593,0.5,-0.49528562372981977,0.0029109192222744524
0.41000000000000003,-0.025243825626121326,0.9,-0.22771272960143163,0.003546535946962508
0.41000000000000003,-0.01650913638311463,0.95,-0.16779649129048105,0.004400656053389207
0.41000000000000003,0.0010233913854714757,1,-0.06513085985635525,0.011117100565962525
0.42000000000000004,-0.12091428209673069,-1,-0.9714133208208865,0.004636416063841425
0.42000000000000004,-0.1032504467144357,-0.5,-0.8406159459096043,0.004075179064368416
0.42000000000000004,-0.08244166508026872,0,-0.685779760434673,0.003457506064951441
0.42000000000000004,-0.05558211132955239,0.5,-0.4849834803376397,0.0028579112225578436
0.42000000000000004,-0.020837087712545655,0.9,-0.22294555995843937,0.003496112268949224
0.42000000000000004,-0.013065183326476418,0.95,-0.16428093398838028,0.004337516497378873
0.42000000000000004,0.002756544432838829,1,-0.05543092843523608,0.010971240152540251
0.43,-0.10376552493094346,-1,-0.9514725427190084,0.004541140127864329
0.43,-0.08835241593923691,-0.5,-0.8233364351044906,0.003992066967807323
0.43,-0.07023864577719277,0,-0.6716530307939758,0.003388502696642322
0.43,-0.04674740844698223,0.5,-0.4749531402042893,0.002805911119313131
0.43,-0.016469605537854804,0.9,-0.21829422180174785,0.003445405005412103
0.43,-0.009644441479011416,0.95,-0.16084590034516003,0.004274220554023219
0.43,0.004465177166853183,1,-0.05437005555708421,0.010789747958370436
0.44,-0.08675220323180674,-1,-0.9320490687446351,0.004448351888856693
0.44,-0.07360788975051433,-0.5,-0.8065040140702746,0.003911013694200067
0.44,-0.05810047116127599,0,-0.657890107707138,0.003321198724606783
0.44,-0.038029621797186455,0.5,-0.4651772261929852,0.002754659777302142
0.44,-0.01211685533030038,0.9,-0.21375172687533234,0.0033943919998977857
0.44,-0.006274938227503685,0.95,-0.1574853550119687,0.004210836071458865
0.44,0.006098440755678754,1,-0.05665993228591428,0.010599206026422826
0.45,-0.06986067002467661,-1,-0.9131114172538967,0.004357889859510663
0.45,-0.05893846055043373,-0.5,-0.7900915171926511,0.003831998710932707
0.45,-0.04605557851742785,0,-0.6444686903995501,0.003255409046566841
0.45,-0.02941352216911621,0.5,-0.4556648350504986,0.0027040261546485986
0.45,-0.007781387556729172,0.9,-0.20931110653144802,0.0033430672649509456
0.45,-0.0029106780270538963,0.95,-0.154195705582497,0.0041472955346169805
0.45,0.007749133577212864,1,-0.05752292728128364,0.010416727812613066
0.46,-0.053090040266290925,-1,-0.8946303304744205,0.004269586633296238
0.46,-0.04438652102778207,-0.5,-0.77407356751495,0.003754801390849661
0.46,-0.03410161594282851,0,-0.63136813054069,0.003191023682217902
0.46,-0.02078473847167895,0.5,-0.4463523636016182,0.0026542832086123252
0.46,-0.003458538411902387,0.9,-0.20496599524487472,0.0032914202694655083
0.46,4.699457594832283e-4,0.95,-0.15097281771861484,0.004083480910725151
0.46,0.009465941139167797,1,-0.05404155601193631,0.010257637369356488
0.47000000000000003,-0.03639752708014529,-1,-0.8765785922892663,0.004183350909179744
