CVaR,CVaR.se,p,q,b,Type
-0.08339317973326843,0.025131791407285074,0.17,-0.21143015929966952,0.2,Thm. 3.2
-0.1111913750066992,0.025178994433115116,0.17,-0.2614301592996695,0.25,Thm. 3.2
-0.031019687713736817,0.02325792532502444,0.18000000000000002,-0.06333361009244261,0.05,Thm. 3.2
-0.03360733624417342,0.024263737449488287,0.18000000000000002,-0.10766848264449473,0.1,Thm. 3.2
-0.05587034305110518,0.02423345622251437,0.18000000000000002,-0.15765664235273924,0.15,Thm. 3.2
-0.08148823757647417,0.024240252547767654,0.18000000000000002,-0.20765664235273923,0.2,Thm. 3.2
-0.10831230801193242,0.024284227476724554,0.18000000000000002,-0.2576566423527392,0.25,Thm. 3.2
-0.030884450520082103,0.022624481597943207,0.19,-0.059973440761228375,0.05,Thm. 3.2
-0.03306301667979978,0.02352691394671059,0.19,-0.10415234137186015,0.1,Thm. 3.2
-0.05467832584046847,0.023496931694643397,0.19,-0.1541195244064427,0.15,Thm. 3.2
-0.07954859665729726,0.023500033207025785,0.19,-0.20411952440644268,0.2,Thm. 3.2
-0.10500056876557678,0.02353842168487145,0.19,-0.2541195244064427,0.25,Thm. 3.2
-0.03070851781836249,0.02182043013219451,0.2,-0.05692234539174011,0.05,Thm. 3.2
-0.032537893767321385,0.022523422611486873,0.2,-0.1008461220775188,0.1,Thm. 3.2
-0.05355697851215881,0.022486050034441724,0.2,-0.1508198584195821,0.15,Thm. 3.2
-0.07763102008712416,0.022482481764303473,0.2,-0.20081985841958208,0.2,Thm. 3.2
-0.10157859632067069,0.022513167696174043,0.2,-0.25081985841958204,0.25,Thm. 3.2
-0.030636615768745098,0.0211632171983281,0.21000000000000002,-0.053982239956976784,0.05,Thm. 3.2
-0.03186135709972175,0.02200846602779122,0.21000000000000002,-0.09726192045003716,0.1,Thm. 3.2
-0.05230104928496696,0.021974707594516103,0.21000000000000002,-0.14722612234482135,0.15,Thm. 3.2
-0.07567344005511133,0.02197291319222354,0.21000000000000002,-0.19722612234482134,0.2,Thm. 3.2
-0.09827497453909098,0.022003295531455334,0.21000000000000002,-0.24722612234482133,0.25,Thm. 3.2
-0.03042545527954068,0.020329474719814132,0.22,-0.05123058852042919,0.05,Thm. 3.2
-0.031140323994357164,0.021255316495943033,0.22,-0.09396440301652892,0.1,Thm. 3.2
-0.051040367531925986,0.021219461988758025,0.22,-0.14391771202697135,0.15,Thm. 3.2
-0.07347666693997598,0.021214103916377156,0.22,-0.19391771202697133,0.2,Thm. 3.2
-0.09519519619121095,0.021239626966975025,0.22,-0.24391771202697132,0.25,Thm. 3.2
-0.030209128232294102,0.01974788470866502,0.23,-0.04824083745300542,0.05,Thm. 3.2
-0.030418006385157806,0.020633197713392035,0.23,-0.09057753772426498,0.1,Thm. 3.2
-0.0496958875869166,0.020603542150404757,0.23,-0.14053486112945526,0.15,Thm. 3.2
-0.07128975814456207,0.02059640693914296,0.23,-0.19053486112945525,0.2,Thm. 3.2
-0.09180303843184655,0.020618685997158902,0.23,-0.24053486112945524,0.25,Thm. 3.2
-0.029956030120647535,0.01926220542993705,0.24000000000000002,-0.04548938099338047,0.05,Thm. 3.2
-0.02958664375345017,0.01998639523764071,0.24000000000000002,-0.087403959798099,0.1,Thm. 3.2
-0.04835042081499014,0.019947506820976815,0.24000000000000002,-0.13733787208572762,0.15,Thm. 3.2
-0.06922681003116399,0.019935646513280867,0.24000000000000002,-0.1873378720857276,0.2,Thm. 3.2
-0.08835607976798256,0.019952152975387952,0.24000000000000002,-0.2373378720857276,0.25,Thm. 3.2
-0.02991031134075829,0.018561142737343626,0.25,-0.042895457798160785,0.05,Thm. 3.2
-0.02876242261066455,0.019322227049780417,0.25,-0.0839181835303622,0.1,Thm. 3.2
-0.04696817561077522,0.01928290419966136,0.25,-0.13386543845081672,0.15,Thm. 3.2
-0.06696297617438543,0.01926983444986777,0.25,-0.1838654384508167,0.2,Thm. 3.2
-0.08499079730598175,0.01928388668530599,0.25,-0.2338654384508167,0.25,Thm. 3.2
-0.029785400691507688,0.018062128162628917,0.26,-0.040242740451695874,0.05,Thm. 3.2
-0.02794830035778642,0.01885496281660707,0.26,-0.08084848335152671,0.1,Thm. 3.2
-0.045562545561294764,0.018824272353868632,0.26,-0.1307437695527136,0.15,Thm. 3.2
-0.06489905158285898,0.01881112116023669,0.26,-0.1807437695527136,0.2,Thm. 3.2
-0.08187945539918702,0.018823847934414308,0.26,-0.23074376955271358,0.25,Thm. 3.2
-0.029665988170058867,0.01754321323500818,0.27,-0.0377223189363869,0.05,Thm. 3.2
-0.027113350361256394,0.018415259815210822,0.27,-0.0775175116415681,0.1,Thm. 3.2
-0.04414751979638888,0.01838017718801217,0.27,-0.12735054767723814,0.15,Thm. 3.2
-0.06261766227181939,0.018366566475395623,0.27,-0.17735054767723812,0.2,Thm. 3.2
-0.07848245323436251,0.018377601220684294,0.27,-0.2273505476772381,0.25,Thm. 3.2
-0.029429647861443642,0.01696586971107568,0.28,-0.0352401814546351,0.05,Thm. 3.2
-0.026330164968386673,0.01800725190932713,0.28,-0.0742862282798058,0.1,Thm. 3.2
-0.04255672960357848,0.017984928927428544,0.28,-0.12411274565490601,0.15,Thm. 3.2
-0.060281106312356184,0.017972595631968243,0.28,-0.174112745654906,0.2,Thm. 3.2
-0.07506663465397231,0.017983772209640352,0.28,-0.224112745654906,0.25,Thm. 3.2
-0.029198128214009283,0.01656402606272931,0.29000000000000004,-0.032822336426327405,0.05,Thm. 3.2
-0.025480190670594385,0.017528467059374733,0.29000000000000004,-0.0713336132727748,0.1,Thm. 3.2
-0.04102078721622957,0.017515307560141764,0.29000000000000004,-0.12097677993834582,0.15,Thm. 3.2
