CVaR,CVaR.se,p,q,rho,type,Type,Correlation
-0.5358826696893891,0.0025631059272868033,0.7000000000000001,0.37620751253829865,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.46289236385776733,0.0022543239408032187,0.7000000000000001,0.32846755573688946,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.37647397692918694,0.0019152042540267243,0.7000000000000001,0.2720009219342425,0,Thm. 3.4 bound,Thm. 3.4,0
-0.2643704446926464,0.0015860330008212575,0.7000000000000001,0.19910157698168843,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.11799813666279989,0.001963572325709504,0.7000000000000001,0.10527309820469907,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.08530859969807636,0.002478630866128581,0.7000000000000001,0.0847966490831139,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.025227033801482446,0.006712293416773153,0.7000000000000001,0.04820288479825219,1,Thm. 3.4 bound,Thm. 3.4,1
-0.5228665440858661,0.0025016902155279614,0.7100000000000001,0.3982848196182541,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.45159438714209643,0.002200082302523907,0.7100000000000001,0.3475995403448915,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.3672073947498278,0.0018684315406751768,0.7100000000000001,0.2877170772347436,0,Thm. 3.4 bound,Thm. 3.4,0
-0.2577313983386151,0.0015444371528226587,0.7100000000000001,0.21031636102300333,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.1147564733027044,0.0019036990257482128,0.7100000000000001,0.11067035244036408,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.0828190676912473,0.0024069949443868547,0.7100000000000001,0.08888551028235356,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.025055946683290448,0.0066057110436205805,0.7100000000000001,0.0500204723087367,1,Thm. 3.4 bound,Thm. 3.4,1
-0.5098992541115028,0.0024405464072944677,0.72,0.42105182866257085,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.440338541780486,0.0021460930966626076,0.72,0.3673496463295305,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.3579750546468168,0.0018218700878309517,0.72,0.30390849652618424,0,Thm. 3.4 bound,Thm. 3.4,0
-0.2511160635438611,0.001502987941422523,0.72,0.22186757393120135,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.11152356999776088,0.0018435614358131404,0.72,0.11619672805297585,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.08033322519676246,0.0023343841656328274,0.72,0.09309544424506402,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.02481014616494716,0.006452174928896208,0.72,0.05174391031916045,1,Thm. 3.4 bound,Thm. 3.4,1
-0.4969684017272711,0.0023796327615408642,0.73,0.4446107561409063,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.4291141535222171,0.0020923125058923834,0.73,0.38778309064685446,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.34876839048679537,0.0017754904767964257,0.73,0.32058326037499807,0,Thm. 3.4 bound,Thm. 3.4,0
-0.24451836530408688,0.0014616715706026078,0.73,0.23380143354033828,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.10829607447734121,0.0017825552341723147,0.73,0.12192828046858395,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.07784919677991967,0.0022607496960797002,0.73,0.09743693568076897,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.024616101069802446,0.006339345709542875,0.73,0.053537370513913135,1,Thm. 3.4 bound,Thm. 3.4,1
-0.48406168048504356,0.002318873054626437,0.74,0.4689841818593689,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.41791061439558796,0.0020386816046855313,0.74,0.40892004957093886,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.33957845364105055,0.0017292687014611634,0.74,0.3379233510265234,0,Thm. 3.4 bound,Thm. 3.4,0
-0.23793237419113583,0.001420523008317129,0.74,0.2461297727243008,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.10507248169933311,0.001721433190010661,0.74,0.12780683462404413,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.07536545316222912,0.002186302506505874,0.74,0.10190486938880723,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.024532085413185224,0.006210789421894466,0.74,0.05555534695403534,1,Thm. 3.4 bound,Thm. 3.4,1
-0.47116613629536785,0.002258240035489257,0.75,0.4943432539649566,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.4067166975321026,0.0019851785864262086,0.75,0.4309223390808723,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.3303964391252211,0.0016831723966963452,0.75,0.3558989631356208,0,Thm. 3.4 bound,Thm. 3.4,0
-0.23135161911874186,0.0013794847977844187,0.75,0.25894830122493073,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.10184998693950456,0.0016600666844451461,0.75,0.133865033134587,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.07288001357061422,0.002110942088773204,0.75,0.10651631515950223,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.024160322751325014,0.006109924594414586,0.75,0.057264602381674454,1,Thm. 3.4 bound,Thm. 3.4,1
-0.45826837016868993,0.0021976593946443686,0.76,0.5207446607720625,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.3955209182892292,0.0019317337222429264,0.76,0.45379145063209425,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.3212127571841519,0.001637173399674277,0.76,0.3746607350579352,0,Thm. 3.4 bound,Thm. 3.4,0
-0.22476965440200314,0.0013385972780698746,0.76,0.2722789281685083,0.5,Thm. 3.4 bound,Thm. 3.4,0.5
-0.09862501926213088,0.0015979115781457574,0.76,0.14018357233735546,0.9,Thm. 3.4 bound,Thm. 3.4,0.9
-0.07039149800035759,0.0020350577333042756,0.76,0.11125769813740927,0.95,Thm. 3.4 bound,Thm. 3.4,0.95
-0.02240976117743374,0.005981592518222336,0.76,0.05933182741947124,1,Thm. 3.4 bound,Thm. 3.4,1
-0.44535420271448667,0.0021370699957409815,0.77,0.5482991278303904,-1,Thm. 3.4 bound,Thm. 3.4,-1
-0.384310938264668,0.0018783143603645475,0.77,0.4776878290633684,-0.5,Thm. 3.4 bound,Thm. 3.4,-0.5
-0.31201768182140377,0.001591240571383892,0.77,0.3941878420687013,0,Thm. 3.4 bound,Thm. 3.4,0
