p,q,b,CVaR,CVaR.se
0.54,0.022192293764410502,0.05,-0.027674830270810923,0.008481772594519843
0.54,0.033738896446587105,0.1,-0.022852626457113133,0.008217213203869799
0.54,0.07110284275505892,0.15000000000000002,-0.050633477562636926,0.008171797120091777
0.54,0.12094183636937061,0.2,-0.09262352677673949,0.00820653777859382
0.54,0.1709418363693706,0.25,-0.13521611936933206,0.008247387726331351
0.55,0.0241609339480281,0,-0.036443516193216785,0.008809062624110133
0.55,0.024358766279251196,0.05,-0.027446823025481605,0.008237259852408658
0.55,0.03872649051338101,0.1,-0.024606779588009615,0.007891457469712603
0.55,0.07978930091643262,0.15000000000000002,-0.05589036672627148,0.007854762284866125
0.55,0.12973430205894781,0.2,-0.09615635337743152,0.007888780362310643
0.55,0.1797343020589478,0.25,-0.13706544428652243,0.007928712148292431
0.56,0.0258900813288222,0,-0.03147149587000259,0.008661405495291735
0.56,0.026568498121302797,0.05,-0.023822916148647944,0.007980124122499009
0.56,0.043919823231657204,0.1,-0.02536557012366329,0.0075762376841111475
0.56,0.08687588512141252,0.15000000000000002,-0.05923323082527751,0.007548200973068123
0.56,0.13685933713961052,0.2,-0.0979388669178954,0.007580965533930299
0.56,0.1868593371396105,0.25,-0.13722458120360967,0.00761985340712759
0.5700000000000001,0.0274953101573246,0,-0.02916037903212811,0.008522524594567803
0.5700000000000001,0.028808437611559802,0.05,-0.025493916358188845,0.007720968005229797
0.5700000000000001,0.048736257171086705,0.1,-0.027692146506215192,0.0072771868978283374
0.5700000000000001,0.09334722456822092,0.15000000000000002,-0.06175629331619932,0.007251883641006123
0.5700000000000001,0.1433472245682209,0.2,-0.09892817964642064,0.007283333137373066
0.5700000000000001,0.1933472245682209,0.25,-0.13664747789203466,0.007321142172814966
0.5800000000000001,0.0290331038537098,0,-0.028448843661278297,0.008380089922294392
0.5800000000000001,0.030954078776099098,0.05,-0.025283802361835677,0.007484354660352332
0.5800000000000001,0.053380151014082305,0.1,-0.030642706076367678,0.006990964109360114
0.5800000000000001,0.09916429392624072,0.15000000000000002,-0.06296699652530667,0.006962149896132475
0.5800000000000001,0.1491642939262407,0.2,-0.09917389307703077,0.006995341758553666
0.5800000000000001,0.1991642939262407,0.25,-0.1353807896287549,0.007032040003122722
0.59,0.0306304355471761,0,-0.026772045729631416,0.00823081949126064
0.59,0.033361559096140504,0.05,-0.025073749963893433,0.0072401004484838475
0.59,0.05808632240406011,0.1,-0.03271324307824327,0.006713120741763666
0.59,0.10454941490319833,0.15000000000000002,-0.06416815821610183,0.006684458859176885
0.59,0.15454941490319832,0.2,-0.09891392092796623,0.006716676062953802
0.59,0.2045494149031983,0.25,-0.13365968363983063,0.00675225269506666
0.6,0.0322538315748365,0,-0.0263049227332212,0.008086672845089168
0.6,0.0357084453003487,0.05,-0.029232864180145934,0.007019936307605144
0.6,0.062265241992654506,0.1,-0.034347602166474554,0.006442711905994045
0.6,0.10979986685086722,0.15000000000000002,-0.06505999779844605,0.006415825594309521
0.6,0.15979986685086722,0.2,-0.0983933311317794,0.0064470738544065865
0.6,0.2097998668508672,0.25,-0.13172666446511272,0.0064815398368997254
0.61,0.033654220740701,0,-0.024895137662054843,0.007930029109786274
0.61,0.037972885564428,0.05,-0.03099717084450571,0.006809785711965977
0.61,0.0663188151046441,0.1,-0.0353547213342396,0.006176415376445447
0.61,0.11411729788023382,0.15000000000000002,-0.065153929202531,0.006155346691788345
0.61,0.16411729788023383,0.2,-0.09712114231728511,0.006185582585103888
0.61,0.21411729788023381,0.25,-0.1290883554320392,0.006218900240318629
0.62,0.0352646520894464,0,-0.025837031109281223,0.007796934862416651
